Feature_Index,Effect_Size,P_Value,Significance
32,0.8207921892005231,0.0,***
47,0.7128568523191188,0.0,***
22,0.5544274529695465,0.0,***
24,0.543778314976563,0.0,***
46,0.5428002272868264,0.0,***
28,0.5355085488838607,0.0,***
20,0.515803543846055,0.0,***
30,0.46279397928860505,0.0,***
8,0.4542494614712384,0.0,***
36,0.437193296197298,0.0,***
25,0.43564646727506773,0.0,***
16,0.41657649711633044,0.0,***
1,0.4022427155350632,0.0,***
44,0.37513067153405316,0.0,***
38,0.3726298093332195,0.0,***
26,0.35364937016632664,0.0,***
6,0.3175978849788603,0.0,***
15,0.31508067495007397,0.0,***
27,0.3059072260660446,0.0,***
4,0.2739158047636042,0.0,***
40,0.26736631075551964,0.0,***
9,0.24897755259421023,0.0,***
3,0.24231480940279473,0.0,***
31,0.24088322100390042,0.0,***
42,0.23328580947700087,0.0,***
37,0.22113486457187467,0.0,***
45,0.1928947201511066,0.0,***
0,0.1882783656224467,0.0,***
7,0.16921410575595888,2.48635815945464e-259,***
33,0.16856646614151075,2.2602948452702727e-257,***
35,0.15002696328116114,1.9165701664326524e-204,***
19,0.13344747096809526,2.8663772318353736e-162,***
10,0.11878210078622368,4.9257746066082444e-129,***
23,0.11776308015369684,7.237598639731128e-127,***
43,0.11553336393664909,3.442650647936647e-122,***
29,0.1147797204909173,1.252686521042608e-120,***
13,0.09232562696931035,9.08240510444175e-79,***
39,0.08310497333354543,3.480729685747903e-64,***
5,0.07783707594013599,1.5554675614124166e-56,***
11,0.07552661203306069,2.4590675049488885e-53,***
14,0.06657671154299026,7.623309416106165e-42,***
17,0.06265663027511081,2.9165813518770382e-37,***
21,0.02431109951611765,7.421633444813485e-07,***
2,0.023762620535217556,1.3093889681700147e-06,***
12,0.023389715931695632,1.9130261068271605e-06,***
34,0.0221298492667495,6.6093965463728586e-06,***
41,0.016839632822959364,0.0006062944605778457,***
18,0.012287627293017554,0.01235116829903483,*
