Feature_Index,Normal_Mean,Normal_Std,Normal_Median,Anomaly_Mean,Anomaly_Std,Anomaly_Median,Mean_Difference,Std_Ratio
0,-0.05790802,0.7109588,-0.049331345,0.08015113,0.7763025,0.11130442,0.13805915,1.0919093
1,0.138066,0.75276226,0.09335971,-0.16642466,0.765409,-0.19785585,0.30449066,1.0168004
2,0.034128062,0.67984384,0.009221609,0.01745114,0.7441533,-0.020660393,0.016676923,1.0945945
3,0.094506346,0.7795001,0.052993163,-0.10055719,0.8540918,-0.11473963,0.19506353,1.0956917
4,-0.06506812,0.7208947,-0.067184865,0.13909002,0.7923163,0.14925322,0.20415813,1.0990735
5,0.02467759,0.7486399,-0.02038696,0.08421085,0.79652566,0.040141847,0.05953326,1.0639637
6,-0.09438925,0.71339405,-0.075242616,0.13403536,0.73082757,0.15614723,0.22842461,1.0244374
7,0.04750031,0.71598005,0.035529584,-0.078630336,0.8014113,-0.08352268,0.12613064,1.1193206
8,-0.053304277,0.6852108,-0.102658875,0.27387288,0.7861719,0.23849925,0.32717717,1.1473432
9,-0.15136518,0.7805832,-0.07150924,0.040423013,0.74911356,0.13904871,0.1917882,0.95968443
10,-0.042160105,0.75768036,-0.025268298,0.050576765,0.8252458,0.052824594,0.09273687,1.089174
11,-0.0016590148,0.7552393,0.022616021,-0.0587098,0.75562316,-0.042847972,0.057050787,1.0005083
12,-0.024492204,0.7946639,-0.0018716422,-0.0058270697,0.8046641,0.0035268504,0.018665135,1.0125841
13,-0.06945978,0.77423644,-0.02101445,0.0018770405,0.76945984,0.04741194,0.07133682,0.99383056
14,0.017727919,0.7721885,0.01581058,-0.03294638,0.73834735,-0.028473912,0.0506743,0.956175
15,0.097240224,0.7264037,0.077157676,-0.13468592,0.75522107,-0.16511993,0.23192614,1.0396713
16,-0.09867627,0.73267645,-0.105927564,0.21041544,0.7603963,0.2217612,0.30909172,1.0378337
17,0.1487774,0.84220785,0.01548017,0.0987836,0.69999266,-0.021863623,0.049993798,0.83114004
18,-0.06928793,0.7031283,0.003350883,-0.06001078,0.8499291,-0.008531075,0.009277154,1.2087824
19,0.13737574,0.8742612,0.03583059,0.022389293,0.8356373,-0.069353014,0.11498645,0.95582104
20,-0.06555876,0.75151974,-0.119494855,0.34130564,0.85904825,0.27474454,0.4068644,1.1430814
21,0.042515658,0.748306,0.0013781309,0.061249472,0.81366277,-0.0027354208,0.018733814,1.0873396
22,-0.13412744,0.70530146,-0.119321585,0.27461967,0.7977538,0.27314028,0.4087471,1.131082
23,0.06276239,0.73102546,0.031960145,-0.026169548,0.80165356,-0.0694146,0.08893193,1.0966151
24,-0.056356646,0.6824509,-0.10878673,0.36141193,0.9172179,0.27459732,0.41776857,1.3440057
25,-0.08228429,0.7559158,-0.106979385,0.25198254,0.78970766,0.22584358,0.33426684,1.0447031
26,-0.0030971782,0.7200844,-0.050748818,0.28686497,0.9910929,0.12495264,0.28996214,1.3763566
27,-0.0035900965,0.70576435,-0.05577258,0.23110513,0.878139,0.13429876,0.23469523,1.2442383
28,-0.08923809,0.7089933,-0.12265437,0.3076956,0.80228686,0.2846954,0.39693367,1.131586
29,-0.06255895,0.78889674,-0.023893744,0.029088417,0.81739414,0.04980488,0.091647364,1.0361232
30,-0.053085178,0.7090418,-0.093520224,0.3043998,0.8866287,0.24169675,0.35748497,1.2504604
31,0.0071601514,0.7575329,-0.03958787,0.20565696,0.9440109,0.09207694,0.1984968,1.2461649
32,-0.05725077,0.6665197,-0.16489795,0.5587638,0.89624316,0.45666778,0.6160146,1.3446611
33,0.102945074,0.80078024,-0.07517913,0.23537235,0.7540521,0.13327372,0.13242728,0.94164675
34,0.14422844,0.91636187,-0.015078979,0.12478664,0.7967458,0.026627433,0.019441806,0.8694663
35,0.16350052,0.7772263,0.04706946,0.044543423,0.82357943,-0.09685283,0.118957095,1.0596391
36,0.020879237,0.7615182,-0.10794119,0.37471244,0.8980335,0.23774841,0.3538332,1.1792673
37,0.28796983,0.98387885,0.045446876,0.08398445,0.7840573,-0.07757369,0.20398538,0.7969043
38,0.009592671,0.7310416,-0.09296225,0.29347917,0.8204365,0.20423403,0.2838865,1.1222843
39,0.08469959,0.80023867,-0.035045944,0.14976403,0.7467408,0.061458763,0.06506444,0.9331476
40,0.05379803,0.7917098,-0.04992044,0.28406456,0.98664474,0.12289026,0.23026653,1.2462202
41,0.1386318,0.8157934,0.0055055125,0.15263788,0.8630218,-0.010715733,0.014006078,1.0578926
42,0.09122137,0.77722126,-0.056771174,0.27898428,0.85788524,0.1155053,0.18776292,1.103785
43,0.10420534,0.8460098,-0.049085088,0.2008481,0.8169166,0.099119276,0.09664276,0.9656113
44,0.014247474,0.73552215,-0.09282823,0.30425188,0.84371954,0.23626207,0.2900044,1.1471028
45,0.28443733,1.0125982,0.020603249,0.10394604,0.7571423,-0.03250285,0.1804913,0.7477224
46,-0.0065195593,0.7169022,-0.12446654,0.40920812,0.8561934,0.31643888,0.41572767,1.194296
47,-0.0670425,0.68226886,-0.15521461,0.4602946,0.8438238,0.3932801,0.5273371,1.2367908
